Date,Action,Price, SL, TP
2023-05-30 12:47,buy,0.523
2023-05-30 13:50,sell,0.5228
2023-05-30 14:36,buy,0.5224
2023-05-30 17:20,sell,0.521
2023-05-30 17:33,buy,0.5229
2023-05-30 18:00,sell,0.5208
2023-05-31 07:53,sell,0.5117,0.49634900000000004,0.527051
2023-05-31 07:54,sell,0.5121,0.496737,0.527463
2023-05-31 08:50,buy,0.5113,0.496,0.5266
2023-05-31 10:16,buy,0.5062,0.491,0.5214
2023-05-31 10:31,sell,0.503,0.5181,0.4879
2023-05-31 10:32,sell,0.5031,0.5182,0.488
2023-05-31 11:16,buy,0.5032,0.4881,0.5183
2023-05-31 13:28,sell,0.5123,0.5277,0.4969
2023-05-31 13:48,buy,0.5143,0.4989,0.5297
2023-05-31 15:58,sell,0.5127,0.5281,0.4973
2023-05-31 17:53,sell,0.5179,0.5334,0.5024
2023-05-31 19:20,buy,0.509,0.4937,0.5243
2023-05-31 19:40,sell,0.5076,0.5228,0.4924
2023-05-31 20:02,buy,0.5093,0.494,0.5246
2023-05-31 20:23,sell,0.5075,0.5227,0.4923
2023-06-01 10:35,sell,0.5042,0.5193,0.4891
2023-06-01 11:01,buy,0.5069,0.4917,0.5221
2023-06-01 11:02,buy,0.5056,0.4904,0.5208
2023-06-01 11:42,sell,0.5059,0.5211,0.4907
2023-06-01 12:18,buy,0.5071,0.4919,0.5223
2023-06-01 13:33,sell,0.5057,0.5209,0.4905
2023-06-01 14:11,buy,0.5088,0.4935,0.5241
2023-06-01 14:30,sell,0.5071,0.5223,0.4919
2023-06-01 16:22,buy,0.5094,0.4941,0.5247
2023-06-01 16:55,sell,0.5088,0.5241,0.4935
2023-06-01 18:46,buy,0.5092,0.4939,0.5245
2023-06-02 17:05,sell,0.5248,0.5405,0.5091
2023-06-02 17:47,buy,0.5248,0.5091,0.5405
2023-06-02 17:47,buy,0.5249,0.5092,0.5406
2023-06-02 18:13,sell,0.5234,0.5391,0.5077
2023-06-02 19:11,buy,0.5231,0.5074,0.5388
2023-06-02 19:36,sell,0.5209,0.5365,0.5053
2023-06-02 19:36,sell,0.5207,0.5363,0.5051
2023-06-02 20:13,buy,0.521,0.5054,0.5366
2023-06-02 20:13,buy,0.5211,0.5055,0.5367
2023-06-03 12:34,buy,0.5193,0.5037,0.5349
2023-06-03 12:34,buy,0.5193,0.5037,0.5349
2023-06-03 14:20,buy,0.5209,0.5053,0.5365
2023-06-03 14:20,buy,0.5208,0.5052,0.5364
2023-06-03 15:16,sell,0.5198,0.5354,0.5042
2023-06-03 15:39,buy,0.5214,0.5058,0.537
2023-06-03 15:39,buy,0.5215,0.5059,0.5371
2023-06-03 15:46,sell,0.5203,0.5359,0.5047
2023-06-03 15:46,sell,0.5203,0.5359,0.5047
2023-06-03 17:21,buy,0.5198,0.5042,0.5354
2023-06-03 17:29,sell,0.5191,0.5347,0.5035
